page_url,element_type,tag_name,id,classes,text,href,selector_css
https://platotech.com/careers/,link,a,,fusion-social-network-icon fusion-tooltip fusion-facebook awb-icon-facebook,,https://www.facebook.com/platotechcareers,a.fusion-social-network-icon.fusion-tooltip.fusion-facebook.awb-icon-facebook
https://platotech.com/careers/,link,a,,fusion-social-network-icon fusion-tooltip fusion-instagram awb-icon-instagram,,https://www.instagram.com/platotechcareers/,a.fusion-social-network-icon.fusion-tooltip.fusion-instagram.awb-icon-instagram
https://platotech.com/careers/,link,a,,fusion-social-network-icon fusion-tooltip fusion-linkedin awb-icon-linkedin,,https://www.linkedin.com/company/platotechinc/,a.fusion-social-network-icon.fusion-tooltip.fusion-linkedin.awb-icon-linkedin
https://platotech.com/careers/,link,a,,fusion-social-network-icon fusion-tooltip fusion-spotify awb-icon-spotify,,https://open.spotify.com/show/3R25Z22rNGuS92L4TSl2wR,a.fusion-social-network-icon.fusion-tooltip.fusion-spotify.awb-icon-spotify
https://platotech.com/careers/,link,a,menu-item-2615-link,fusion-bar-highlight,Accessibility Testing,https://platotech.com/services/accessibility-testing/,#menu-item-2615-link
https://platotech.com/careers/,link,a,menu-item-2616-link,fusion-bar-highlight,Content Migration and QA,https://platotech.com/services/content-migration-and-qa/,#menu-item-2616-link
https://platotech.com/careers/,link,a,menu-item-2617-link,fusion-bar-highlight,Test Advisory,https://platotech.com/services/test-advisory/,#menu-item-2617-link
https://platotech.com/careers/,link,a,menu-item-2618-link,fusion-bar-highlight,User Acceptance Testing,https://platotech.com/services/user-acceptance-testing/,#menu-item-2618-link
https://platotech.com/careers/,link,a,menu-item-2787-link,fusion-bar-highlight,IT & Business Consulting,https://platotech.com/services/it-business-consulting/,#menu-item-2787-link
https://platotech.com/careers/,link,a,,,Design de Plume Inc.,https://designdeplume.com/,div.fullwidth-box.has-pattern-background.has-mask-background.copyright.nonhundred-percent-fullwidth.non-hundred-percent-height-scrolling > div:nth-child(1) > div.fusion_builder_column.fusion_builder_column_1_1.\31 _1 > div:nth-child(1) > div > p > a
https://platotech.com/careers/,link,a,cookiesck,cli-plugin-main-link,Privacy & Cookies Policy,https://platotech.com/privacy-policy/,#cookiesck
https://platotech.com/careers/,link,a,cookie_action_close_header,medium cli-plugin-button cli-plugin-main-button cookie_action_close_header cli_action_button wt-cli-accept-btn,ACCEPT,#,#cookie_action_close_header
https://platotech.com/careers/,link,a,,cli-privacy-link,Privacy Overview,#privacy-overview,a.cli-privacy-link
https://platotech.com/careers/,link,a,,cli-nav-link cli-nav-necessary,Necessary,#necessary,a.cli-nav-link.cli-nav-necessary
https://platotech.com/careers/,link,a,,cli-nav-link cli-nav-non-necessary,Non-necessary,#non-necessary,a.cli-nav-link.cli-nav-non-necessary
https://platotech.com/careers/,link,a,,wt-cli-privacy-save-btn cli_setting_save_button,SAVE & ACCEPT,#,a.wt-cli-privacy-save-btn.cli_setting_save_button
https://platotech.com/careers/,link,a,awb-to-top,fusion-top-link,Go to Top,#,#awb-to-top
https://platotech.com/careers/,content,h1,,title-heading-left fusion-responsive-typography-calculated,Careers,,h1.title-heading-left.fusion-responsive-typography-calculated
https://platotech.com/careers/,content,span,,,Careers,,body > div:nth-child(1) > div:nth-child(3) > div > div > div > div > span
https://platotech.com/careers/,content,h2,,title-heading-left fusion-responsive-typography-calculated,"If you are ready to join a team that feels like family, you’re in the right place.",,body > div:nth-child(1) > main > div > div > div > section:nth-child(1) > div > div > div > div:nth-child(1) > div > h2
https://platotech.com/careers/,content,p,,fusion-responsive-typography-calculated,We take pride in our commitment to the communities we belong to across Canada because we know there is more to life than work.,,body > div:nth-child(1) > main > div > div > div > section:nth-child(1) > div > div > div > div:nth-child(1) > div > p:nth-child(2)
https://platotech.com/careers/,content,p,,fusion-responsive-typography-calculated,"Our team enjoys opportunities for continuous learning and work with some of the world’s top companies and technologies, and have a lot of fun while we do it.",,body > div:nth-child(1) > main > div > div > div > section:nth-child(1) > div > div > div > div:nth-child(1) > div > p:nth-child(3)
https://platotech.com/careers/,content,p,,fusion-responsive-typography-calculated,"With artists, puzzlers, runners, gamers, and everything in between, our diverse group of employees are what makes PLATO who we are: a knowledgeable team of software testing experts who are approachable and reliable. On Fridays you can find us in flannel shirts and jeans, grabbing a tea and playing a quick game of foosball between meetings.",,body > div:nth-child(1) > main > div > div > div > section:nth-child(1) > div > div > div > div:nth-child(1) > div > p:nth-child(4)
https://platotech.com/careers/,content,h2,,title-heading-left fusion-responsive-typography-calculated,Current Openings,,body > div:nth-child(1) > main > div > div > div > section:nth-child(2) > div > div > div > div > div > h2
https://platotech.com/careers/,content,span,,fusion-button-text,View Current Openings,,body > div:nth-child(1) > main > div > div > div > section:nth-child(2) > div > div > div > div > div > a > span
https://platotech.com/careers/,content,h2,,title-heading-left fusion-responsive-typography-calculated,Build better software & make a social impact.,,body > div:nth-child(1) > div:nth-child(4) > div > div > div > div:nth-child(1) > div > div > h2
https://platotech.com/careers/,content,span,,fusion-button-text-left,Let’s Talk Solutions,,body > div:nth-child(1) > div:nth-child(4) > div > div > div > div:nth-child(1) > div > div > a > span
https://platotech.com/careers/,content,h4,,fusion-responsive-typography-calculated,GENERAL BUSINESS INQUIRIES,,body > div:nth-child(1) > div:nth-child(4) > div > div > div > div:nth-child(2) > div > div:nth-child(1) > h4
https://platotech.com/careers/,content,h4,,fusion-responsive-typography-calculated,NEWSLETTER: PLATO Views,,body > div:nth-child(1) > div:nth-child(4) > div > div > div > div:nth-child(2) > div > div:nth-child(2) > h4
https://platotech.com/careers/,content,span,,fusion-button-text-left,Subscribe,,body > div:nth-child(1) > div:nth-child(4) > div > div > div > div:nth-child(2) > div > div:nth-child(2) > a > span
https://platotech.com/careers/,content,h4,,fusion-responsive-typography-calculated,SOCIALS,,body > div:nth-child(1) > div:nth-child(4) > div > div > div > div:nth-child(2) > div > div:nth-child(3) > h4
https://platotech.com/careers/,content,h4,,fusion-responsive-typography-calculated,SERVICES,,body > div:nth-child(1) > div:nth-child(4) > div > div > div > div:nth-child(3) > div > h4
https://platotech.com/careers/,content,span,,menu-text,Test Automation,,#menu-item-2613 > a:nth-child(3) > span.menu-text
https://platotech.com/careers/,content,span,,menu-text,Functional Testing,,#menu-item-2614 > a:nth-child(3) > span.menu-text
https://platotech.com/careers/,content,span,,menu-text,Performance Testing,,#menu-item-2785 > a:nth-child(3) > span.menu-text
https://platotech.com/careers/,content,span,,menu-text,Enterprise Resource Planning (ERP) Testing,,#menu-item-2612 > a:nth-child(3) > span.menu-text
https://platotech.com/careers/,content,li,menu-item-2615,menu-item menu-item-type-post_type menu-item-object-page menu-item-2615,Accessibility Testing,,#menu-item-2615
https://platotech.com/careers/,content,span,,menu-text,Accessibility Testing,,#menu-item-2615 > a:nth-child(3) > span.menu-text
https://platotech.com/careers/,content,li,menu-item-2616,menu-item menu-item-type-post_type menu-item-object-page menu-item-2616,Content Migration and QA,,#menu-item-2616
https://platotech.com/careers/,content,span,,menu-text,Content Migration and QA,,#menu-item-2616 > a:nth-child(3) > span.menu-text
https://platotech.com/careers/,content,li,menu-item-2617,menu-item menu-item-type-post_type menu-item-object-page menu-item-2617,Test Advisory,,#menu-item-2617
https://platotech.com/careers/,content,span,,menu-text,Test Advisory,,#menu-item-2617 > a:nth-child(3) > span.menu-text
https://platotech.com/careers/,content,li,menu-item-2618,menu-item menu-item-type-post_type menu-item-object-page menu-item-2618,User Acceptance Testing,,#menu-item-2618
https://platotech.com/careers/,content,span,,menu-text,User Acceptance Testing,,#menu-item-2618 > a:nth-child(3) > span.menu-text
https://platotech.com/careers/,content,li,menu-item-2787,menu-item menu-item-type-post_type menu-item-object-page menu-item-2787,IT & Business Consulting,,#menu-item-2787
https://platotech.com/careers/,content,span,,menu-text,IT & Business Consulting,,#menu-item-2787 > a:nth-child(3) > span.menu-text
https://platotech.com/careers/,content,p,,,PLATO | All Rights Reserved | Website by Design de Plume Inc.,,div.fullwidth-box.has-pattern-background.has-mask-background.copyright.nonhundred-percent-fullwidth.non-hundred-percent-height-scrolling > div:nth-child(1) > div.fusion_builder_column.fusion_builder_column_1_1.\31 _1 > div:nth-child(1) > div > p
https://platotech.com/careers/,content,span,,,"We use cookies on our website to give you the most relevant experience by remembering your preferences and repeat visits. By clicking “Accept”, you consent to the use of ALL the cookies.Cookie settingsACCEPT",,#cookie-law-info-bar > span
https://platotech.com/careers/,content,span,cookie_hdr_showagain,,Privacy & Cookies Policy,,#cookie_hdr_showagain
https://platotech.com/careers/,content,button,cliModalClose,cli-modal-close,Close,,#cliModalClose
https://platotech.com/careers/,content,span,,wt-cli-sr-only,Close,,#cliModalClose > span.wt-cli-sr-only
https://platotech.com/careers/,content,h4,,fusion-responsive-typography-calculated,Privacy Overview,,div.cli-privacy-overview > h4:nth-child(1)
https://platotech.com/careers/,content,span,,cli-necessary-caption,Always Enabled,,span.cli-necessary-caption
https://platotech.com/careers/,content,span,,wt-cli-sr-only,Non-necessary,,label.cli-slider > span.wt-cli-sr-only
https://platotech.com/careers/,content,span,awb-to-top-label,screen-reader-text,Go to Top,,#awb-to-top-label
